,MAE,RMSE,R2
Linear Regression,62444.310629754385,81501.76446544562,0.08425172276041193
Random Forest,3790.026319702602,10243.544380262345,0.9855341953851978
XGBoost,5686.75146484375,11396.67495368715,0.9820939898490906
